,시군구,매장명,유형,개점일(추정),운영상태,폐점일,도로명주소,DT여부,리저브
167,해운대구,하버타운,General,2001-05-17,OPERATING,,부산광역시 해운대구 해운대해변로 257 (우동),false,false
166,수영구,광안리,General,2002-05-29,OPERATING,,부산광역시 수영구 광안해변로 247 (민락동),false,false
165,남구,경성대,General,2004-07-16,OPERATING,,부산광역시 남구 수영로 312 (대연동),false,false
164,해운대구,장산역,General,2005-09-23,OPERATING,,부산광역시 해운대구 해운대로 802 (좌동),false,false
163,해운대구,벡스코,General,2007-02-14,OPERATING,,"부산광역시 해운대구 APEC로 55, 벡스코내 (우동)",false,false
162,해운대구,팔레드시즈,General,2008-07-28,OPERATING,,"부산광역시 해운대구 해운대해변로298번길 24, 팔래드시즈 1-3호 (중동)",false,false
161,부산진구,서면중앙,General,2011-01-11,OPERATING,,부산광역시 부산진구 서면로68번길 1 (부전동),false,false
160,중구,남포동역,General,2011-03-29,OPERATING,,"부산광역시 중구 구덕로 4, 1~2층 (광복동1가)",false,false
159,금정구,금정이마트,General,2011-07-28,OPERATING,,부산광역시 금정구 중앙대로1841번길 24 (구서동),false,false
158,부산진구,서면센트럴스퀘어,General,2011-08-26,OPERATING,,부산광역시 부산진구 중앙대로666번길 50 (부전동),false,false
157,부산진구,서면트레이더스,General,2011-08-30,OPERATING,,부산광역시 부산진구 시민공원로 31 (부암동),false,false
156,해운대구,월드마크센텀,General,2011-09-09,OPERATING,,"부산광역시 해운대구 센텀동로 25, 1층 (우동)",false,false
155,부산진구,부전역,General,2011-11-25,OPERATING,,"부산광역시 부산진구 중앙대로 777, 서면호텔 복합시설1,2층 (부전동)",false,false
154,강서구,명지오션시티,General,2012-01-31,OPERATING,,부산광역시 강서구 명지오션시티11로 66 (명지동),false,false
152,해운대구,센텀드림월드,General,2012-03-28,OPERATING,,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1층 (우동)",false,false
153,해운대구,제니스스퀘어,General,2012-03-28,OPERATING,,"부산광역시 해운대구 마린시티2로 33, 제니스스퀘어 (우동)",false,false
151,사하구,하단중앙,General,2012-04-06,OPERATING,,부산광역시 사하구 낙동남로 1411 (하단동),false,false
150,해운대구,해운대이마트,General,2012-04-18,OPERATING,,부산광역시 해운대구 좌동순환로 511 (중동) 1층,false,false
149,해운대구,마린시티아이파크,General,2012-06-29,OPERATING,,부산광역시 해운대구 마린시티2로 38 (우동),false,false
148,동래구,부산온천장역,General,2012-12-21,OPERATING,,"부산광역시 동래구 중앙대로 1523, SK허브스카이위아아파트 1층 (온천동)",false,false
146,해운대구,센텀KNN,General,2013-01-09,OPERATING,,부산광역시 해운대구 센텀서로 30 (우동),false,false
147,사하구,부산괴정역,General,2013-01-09,OPERATING,,부산광역시 사하구 사하로186번길 6 (괴정동),false,false
