"","시도","시군","n"
"1","서울특별시","강남구",87
"2","서울특별시","중구",53
"3","경기도","성남시",50
"4","서울특별시","서초구",48
"5","경기도","고양시",43
"6","서울특별시","영등포구",40
"7","서울특별시","종로구",39
"8","경기도","수원시",35
"9","경기도","용인시",35
"10","서울특별시","송파구",34
"11","서울특별시","마포구",33
"12","부산광역시","해운대구",32
"13","경상남도","창원시",29
"14","경기도","화성시",24
"15","대전광역시","서구",24
"16","서울특별시","강서구",23
"17","서울특별시","용산구",23
"18","경기도","부천시",21
"19","서울특별시","서대문구",21
"20","대구광역시","수성구",20
"21","서울특별시","광진구",20
"22","전라북도","전주시",20
"23","경기도","안양시",19
"24","충청북도","청주시",19
"25","부산광역시","부산진구",18
"26","충청남도","천안시",18
"27","대구광역시","달서구",17
"28","대전광역시","유성구",17
"29","서울특별시","양천구",17
"30","서울특별시","강동구",16
"31","경기도","남양주시",15
"32","경기도","하남시",15
"33","광주광역시","서구",15
"34","울산광역시","남구",15
"35","경기도","김포시",14
"36","경상남도","김해시",14
"37","서울특별시","성북구",14
"38","제주특별자치도","제주시",14
"39","경기도","의정부시",13
"40","경상북도","포항시",13
"41","광주광역시","광산구",13
"42","서울특별시","노원구",13
"43","서울특별시","성동구",13
"44","인천광역시","연수구",13
"45","경기도","평택시",12
"46","경상북도","구미시",12
"47","광주광역시","북구",12
"48","서울특별시","구로구",12
"49","서울특별시","금천구",12
"50","경기도","광명시",11
"51","경기도","시흥시",11
"52","서울특별시","관악구",11
"53","서울특별시","동작구",11
"54","인천광역시","남동구",11
"55","인천광역시","미추홀구",11
"56","경기도","안산시",10
"57","경기도","파주시",10
"58","광주광역시","남구",10
"59","광주광역시","동구",10
"60","대구광역시","동구",10
"61","대구광역시","중구",10
"62","서울특별시","은평구",10
"63","경상북도","경산시",9
"64","부산광역시","금정구",9
"65","서울특별시","동대문구",9
"66","인천광역시","부평구",9
"67","인천광역시","서구",9
"68","제주특별자치도","서귀포시",9
"69","강원도","춘천시",8
"70","경상북도","경주시",8
"71","대구광역시","북구",8
"72","부산광역시","사하구",8
"73","부산광역시","연제구",8
"74","전라남도","여수시",8
"75","경기도","양주시",7
"76","경상남도","양산시",7
"77","경상남도","진주시",7
"78","대전광역시","중구",7
"79","부산광역시","동래구",7
"80","부산광역시","수영구",7
"81","서울특별시","중랑구",7
"82","인천광역시","중구",7
"83","충청남도","아산시",7
"84","강원도","강릉시",6
"85","강원도","원주시",6
"86","경기도","광주시",6
"87","경기도","구리시",6
"88","경기도","오산시",6
"89","경상남도","거제시",6
"90","대전광역시","동구",6
"91","부산광역시","남구",6
"92","부산광역시","중구",6
"93","서울특별시","강북구",6
"94","전라남도","순천시",6
"95","경기도","군포시",5
"96","경기도","이천시",5
"97","대전광역시","대덕구",5
"98","부산광역시","강서구",5
"99","부산광역시","기장군",5
"100","세종특별자치시","",5
"101","울산광역시","북구",5
"102","울산광역시","중구",5
"103","인천광역시","계양구",5
"104","전라남도","목포시",5
"105","전라북도","군산시",5
"106","충청북도","충주시",5
"107","강원도","속초시",4
"108","경기도","안성시",4
"109","경기도","여주시",4
"110","경기도","의왕시",4
"111","경상북도","안동시",4
"112","부산광역시","동구",4
"113","부산광역시","북구",4
"114","부산광역시","사상구",4
"115","부산광역시","서구",4
"116","울산광역시","동구",4
"117","전라북도","익산시",4
"118","경기도","과천시",3
"119","대구광역시","남구",3
"120","서울특별시","도봉구",3
"121","충청남도","공주시",3
"122","강원도","홍천군",2
"123","경기도","동두천시",2
"124","경기도","양평군",2
"125","경상남도","사천시",2
"126","경상북도","김천시",2
"127","대구광역시","달성군",2
"128","전라남도","나주시",2
"129","전라남도","무안군",2
"130","충청남도","논산시",2
"131","충청남도","당진시",2
"132","충청남도","서산시",2
"133","강원도","고성군",1
"134","강원도","동해시",1
"135","경기도","가평군",1
"136","경기도","포천시",1
"137","경상남도","밀양시",1
"138","경상남도","통영시",1
"139","경상북도","문경시",1
"140","대구광역시","서구",1
"141","부산광역시","영도구",1
"142","세종특별자치시","금송로",1
"143","세종특별자치시","다정북로",1
"144","세종특별자치시","보듬7로",1
"145","세종특별자치시","소담3로",1
"146","세종특별자치시","아름서1길",1
"147","세종특별자치시","한누리대로",1
"148","울산광역시","울주군",1
"149","인천광역시","강화군",1
"150","인천광역시","동구",1
"151","전라남도","광양시",1
"152","전라남도","화순군",1
"153","전라북도","정읍시",1
"154","충청남도","계룡시",1
"155","충청남도","보령시",1
"156","충청남도","홍성군",1
"157","충청북도","음성군",1
"158","충청북도","제천시",1
"159","충청북도","증평군",1
